Intervention,Label
propranolol,propranolol
atenolol,atenolol
both arms combined,DROP
Timolol maleate 0.5% gel,timolol
placebo,control
Mometasone furoate,DROP
triamcilone acetonide,triamcilone
triamcilone,triamcilone
prednisolone,oral steroid
control,control
Methylprednisolone,methylprednisolone
prepropranolol ,DROP
nonpropranolol,control
control - no treatment,control
timolol,timolol
Imiquimod,imiquimod
concurrent propranolol and pulsed dye laser,DROP
propranolol followed by pulsed dye laser,DROP
bleomycin,DROP
prednisone,oral steroid
corticosteroids,oral steroid
Control (not treated with propranolol),control
methyprednisolone,methylprednisolone
All treatments combined,DROP
"methyprednisolone, both groups combined",DROP
No treatment - observation,control
triamcinolone,triamcilone
nadolol,nadolol
